id,code,name,levelid,parentid
04F6EEDF-D712-42B2-A7F3-BA6190CEE7C9,06DSC13,Latchouet,90e35999-a64f-4312-ba8f-bc13a1311c75,30A13588-BE5A-44E7-8A58-5156C7CCE5A0
F2A840AE-5FFC-427E-9E0A-7C868BB6597E,06DSC13V,Latchouet,89e35999-a64f-4312-ba8f-bc13a1311f21,04F6EEDF-D712-42B2-A7F3-BA6190CEE7C9
1516F7AE-FF23-43E0-893F-C86BCA152BE0,06DSC14,Lepoh,90e35999-a64f-4312-ba8f-bc13a1311c75,30A13588-BE5A-44E7-8A58-5156C7CCE5A0
418456DF-D33A-47DA-846A-0B984AE53D14,06DSC14V,Lepoh,89e35999-a64f-4312-ba8f-bc13a1311f21,1516F7AE-FF23-43E0-893F-C86BCA152BE0
358E3DD2-7460-4408-AA6B-384A0B7C5ABD,06DSC15,Lingang-Foto,90e35999-a64f-4312-ba8f-bc13a1311c75,30A13588-BE5A-44E7-8A58-5156C7CCE5A0
A1028A07-3213-4B92-8444-AA03CD3EBA73,06DSC15V,Lingang-Foto,89e35999-a64f-4312-ba8f-bc13a1311f21,358E3DD2-7460-4408-AA6B-384A0B7C5ABD
82C063B4-D906-4695-B135-54CCF448BA63,06DSC16,Maka,90e35999-a64f-4312-ba8f-bc13a1311c75,30A13588-BE5A-44E7-8A58-5156C7CCE5A0
6155143E-0F72-42B0-8DE4-31753F2185EE,06DSC16V,Maka,89e35999-a64f-4312-ba8f-bc13a1311f21,82C063B4-D906-4695-B135-54CCF448BA63
AE19DEE5-8F8B-437E-8CA3-F62266848672,06DSC17,Mbeng,90e35999-a64f-4312-ba8f-bc13a1311c75,30A13588-BE5A-44E7-8A58-5156C7CCE5A0
DABD7E73-190A-454E-A0B6-B98A1D3ADC53,06DSC17V,Mbeng,89e35999-a64f-4312-ba8f-bc13a1311f21,AE19DEE5-8F8B-437E-8CA3-F62266848672
67EC989A-1AC3-4941-8318-A1080F8716A4,06DSC18,Mboua,90e35999-a64f-4312-ba8f-bc13a1311c75,30A13588-BE5A-44E7-8A58-5156C7CCE5A0
ABE7D3D1-B58D-43E9-ABEA-591E834D7BFF,06DSC18V,Mboua,89e35999-a64f-4312-ba8f-bc13a1311f21,67EC989A-1AC3-4941-8318-A1080F8716A4
